MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
201204,2.236833333333333,6139,331,1738,1604,539,154,218,343,84,29.0,4122,254,153,250,9,318,282,63,21,1601,651,54,292,6.0,132,3992,90,0.0,16.0,5230,122,6570,6177,212,161,4053,1154,3288,57,47,92,39,15.0,1288,1179,1472,413,6.0,4.0,811,974,102,345,34.0,129,944,70,4.0,207,941,73.0,11,320,1483,36.0,8.0,6.0,0.0,796,73,3.0,2.0,39,71,12.0,0.0,1242,1462,1565,7,381,27,0.0,1361,4.0,21,0.0,40,110,0.0,26,146,574,809,33,2.0,13.0,6.0,0.0,0.0,0.0,192,11,101,489,12.0,14,9.0,74,252,12.0,12.0,3,44,180,88,16.0,98,117,0.0,8.0,239,169,693,2243,125,68,235,89,219,14,1.0,0.0,61,1988,44,293,514,49,51,4.0,0.0,13.0,0.0
201205,2.235666666666667,6171,331,1696,1780,594,176,304,371,65,10.0,4332,127,123,350,47,148,375,51,19,1446,647,44,265,5.0,182,4715,52,1.0,12.0,5676,382,7252,6579,213,146,3905,1266,3318,74,21,56,135,12.0,1308,1223,1625,57,22.0,24.0,860,923,79,276,20.0,175,1028,79,6.0,160,1452,19.0,7,174,1408,33.0,8.0,4.0,1.0,980,57,1.0,1.0,61,65,6.0,1.0,1273,1883,1930,26,520,43,0.0,1601,2.0,14,5.0,103,135,0.0,19,94,224,908,36,0.0,25.0,1.0,0.0,1.0,0.0,118,11,78,728,7.0,24,7.0,62,60,6.0,22.0,16,83,344,130,13.0,114,81,0.0,14.0,159,206,1052,2757,128,46,426,126,268,53,0.0,5.0,55,1794,42,308,355,26,17,0.0,4.0,34.0,0.0
201206,2.2345,5603,162,1305,1362,496,195,254,508,82,22.0,3766,106,137,179,11,120,276,68,8,1311,635,73,325,4.0,165,3734,83,3.0,22.0,5229,103,6826,6193,166,184,3759,988,2976,54,17,138,69,14.0,1720,1109,1388,136,24.0,12.0,842,1048,96,268,18.0,51,863,62,5.0,160,777,14.0,9,274,1386,19.0,0.0,2.0,7.0,683,78,0.0,2.0,50,33,2.0,13.0,1238,1210,1183,10,340,18,0.0,1374,3.0,24,11.0,59,84,0.0,16,83,534,643,11,0.0,16.0,4.0,0.0,0.0,0.0,139,17,66,480,4.0,13,16.0,48,114,12.0,11.0,25,79,196,39,13.0,121,64,0.0,9.0,102,125,1052,1739,66,27,260,150,266,40,1.0,2.0,69,1718,52,234,272,18,16,0.0,0.0,50.0,0.0
201207,2.2333333333333334,5880,197,1477,1279,507,183,198,400,97,17.0,4022,113,80,177,9,123,239,41,6,1223,524,38,301,7.0,142,3365,113,4.0,17.0,4753,113,6213,5660,190,112,3022,1106,2987,64,39,92,56,12.0,1287,1182,1497,127,22.0,19.0,852,1072,80,383,17.0,26,842,95,4.0,239,930,8.0,9,235,1195,16.0,0.0,2.0,1.0,811,67,0.0,2.0,35,40,12.0,3.0,1588,1601,1545,21,533,51,2.0,1519,4.0,18,5.0,102,276,0.0,24,90,1353,809,122,0.0,53.0,11.0,0.0,0.0,0.0,114,6,118,853,2.0,10,5.0,97,110,7.0,22.0,6,112,217,93,25.0,175,74,0.0,7.0,93,166,740,1770,46,76,201,82,199,50,6.0,0.0,51,2002,30,287,417,23,23,0.0,0.0,12.0,4.0
201208,2.232166666666666,5574,123,1096,1168,481,151,182,343,90,28.0,3486,112,52,132,4,189,227,49,8,1242,555,50,256,1.0,118,3686,77,12.0,26.0,3936,208,5584,5132,134,106,2601,847,2680,51,33,77,81,6.0,1057,1119,1366,66,16.0,6.0,682,824,79,271,4.0,85,929,156,9.0,180,985,24.0,24,229,1127,15.0,3.0,3.0,0.0,639,41,3.0,1.0,37,61,3.0,1.0,1519,1430,1792,17,392,34,1.0,1406,0.0,12,3.0,30,92,0.0,17,84,678,699,30,0.0,28.0,11.0,0.0,0.0,0.0,86,15,121,706,3.0,12,1.0,61,85,6.0,12.0,12,111,229,85,21.0,89,34,0.0,15.0,107,149,654,2494,82,79,288,57,269,22,0.0,2.0,45,2317,26,265,463,35,30,0.0,0.0,0.0,2.0
201209,2.231,6546,231,1558,1560,523,186,121,579,161,17.0,4372,84,84,191,10,196,292,93,12,1343,564,55,213,5.0,110,3777,84,4.0,15.0,5490,97,6857,6244,157,102,3404,1333,2922,65,64,77,53,17.0,1348,1209,1443,84,7.0,7.0,808,957,100,227,15.0,25,1141,42,7.0,271,794,21.0,3,230,1345,3.0,0.0,2.0,3.0,812,40,0.0,0.0,39,31,1.0,0.0,1612,1650,1769,39,563,59,0.0,1556,10.0,17,9.0,98,176,0.0,12,132,442,848,67,0.0,34.0,9.0,0.0,0.0,0.0,156,11,159,1205,14.0,35,19.0,147,135,22.0,12.0,49,76,354,124,11.0,174,180,0.0,14.0,63,190,582,1790,89,73,214,55,203,40,0.0,0.0,66,1890,22,233,280,33,30,0.0,0.0,4.0,0.0
201210,2.2298333333333336,5325,116,1234,1413,535,134,254,458,165,8.0,3749,112,78,102,9,127,195,22,17,979,489,42,229,5.0,120,2823,71,6.0,3.0,3837,122,5044,4539,83,76,2272,723,2904,73,9,74,77,8.0,960,1249,1482,162,6.0,39.0,758,980,89,191,13.0,18,682,70,9.0,205,696,8.0,4,260,1220,17.0,2.0,1.0,0.0,708,34,0.0,0.0,42,34,18.0,2.0,1159,1385,1268,16,410,36,0.0,1310,6.0,47,2.0,64,133,0.0,17,126,192,713,10,0.0,28.0,4.0,0.0,0.0,0.0,152,9,225,679,9.0,36,4.0,133,78,13.0,15.0,8,69,290,85,10.0,118,40,0.0,2.0,68,115,670,1482,50,68,324,55,161,23,0.0,0.0,52,1692,26,261,398,58,44,0.0,2.0,7.0,0.0
201211,2.228666666666667,5905,158,1242,1375,435,119,160,303,67,23.0,3878,111,84,127,30,177,215,44,6,1145,558,52,250,9.0,149,3282,78,0.0,12.0,4271,117,5632,5065,108,115,2916,867,3218,53,20,40,25,10.0,1156,1090,1461,64,18.0,10.0,773,863,109,180,10.0,27,841,66,10.0,484,1029,16.0,7,192,1135,11.0,2.0,3.0,0.0,768,38,1.0,3.0,87,44,9.0,0.0,1711,1510,1230,5,459,24,0.0,1537,1.0,13,4.0,60,122,0.0,12,107,131,627,10,0.0,10.0,4.0,0.0,0.0,0.0,99,7,164,783,6.0,29,7.0,188,92,12.0,46.0,8,80,204,62,13.0,81,47,1.0,4.0,65,139,685,1639,71,28,470,68,136,41,0.0,0.0,71,1494,21,251,347,52,41,0.0,0.0,1.0,8.0
201212,2.2275,4595,79,1185,1209,417,138,115,303,85,12.0,3204,53,37,66,16,105,143,43,4,1078,602,37,204,28.0,140,1970,52,2.0,17.0,2979,61,4274,3863,53,61,2143,697,2517,49,7,52,92,3.0,1030,955,1232,30,25.0,24.0,680,859,67,171,7.0,25,545,95,2.0,195,700,17.0,10,140,966,26.0,3.0,5.0,0.0,652,32,0.0,2.0,43,12,3.0,3.0,1120,1178,1104,8,337,19,0.0,1065,0.0,11,2.0,43,54,0.0,12,132,178,525,24,0.0,10.0,4.0,0.0,0.0,0.0,77,14,85,527,5.0,24,3.0,44,63,8.0,17.0,12,48,162,77,2.0,74,48,0.0,4.0,92,142,712,1882,49,41,297,108,228,17,0.0,3.0,45,1319,21,204,313,28,18,0.0,0.0,12.0,4.0
201301,2.2263333333333337,4771,116,951,1025,399,147,133,212,40,14.0,3256,69,76,70,29,131,149,42,20,915,432,18,172,33.0,106,2150,39,4.0,20.0,2969,79,4069,3632,49,79,2231,677,2256,29,10,41,68,6.0,838,887,1247,51,4.0,16.0,669,833,90,216,4.0,24,572,64,3.0,207,825,9.0,12,149,1023,14.0,4.0,0.0,0.0,626,29,0.0,0.0,60,5,0.0,1.0,1039,1245,1100,5,333,10,0.0,1076,3.0,9,2.0,41,69,0.0,10,90,141,512,29,0.0,5.0,3.0,0.0,0.0,0.0,134,5,97,500,0.0,40,1.0,32,70,33.0,26.0,17,50,209,47,29.0,104,35,0.0,2.0,57,122,948,1331,39,11,188,199,146,22,0.0,1.0,65,1222,25,244,327,30,62,0.0,0.0,5.0,0.0
