MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_201,event_count_202,event_count_203
200901,2.2583333333333333,176,4.0,14,13,11,4.0,1.0,5.0,0.0,0.0,72,0.0,0.0,7.0,0.0,5.0,4.0,1.0,0.0,70,8.0,3.0,4.0,0.0,0.0,45,0.0,0.0,0.0,60,0.0,160,157,2.0,1.0,64,8,61,0.0,0.0,0.0,0.0,0.0,11.0,69,2.0,2.0,0.0,1.0,17,50,4.0,12.0,4.0,7.0,23,0.0,0.0,3.0,14,0.0,2.0,7.0,25,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4,12,44,0.0,5.0,2.0,0.0,16,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3,49,1.0,0.0,4.0,2.0,5.0,0.0,0.0,2.0,43,0.0,0.0,14,3.0,0.0,0.0,1.0,0.0
200902,2.2541666666666664,147,3.0,29,16,7,18.0,7.0,2.0,0.0,0.0,98,2.0,2.0,7.0,2.0,2.0,12.0,0.0,0.0,24,0.0,0.0,3.0,0.0,0.0,49,0.0,0.0,0.0,39,0.0,95,111,0.0,0.0,134,6,57,0.0,0.0,0.0,3.0,0.0,5.0,80,3.0,0.0,4.0,0.0,18,22,4.0,12.0,0.0,4.0,9,1.0,0.0,10.0,18,0.0,0.0,2.0,7,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19,7,31,0.0,5.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,20,37,11.0,0.0,3.0,3.0,6.0,2.0,1.0,0.0,28,0.0,5.0,4,0.0,0.0,0.0,0.0,0.0
200903,2.25,156,2.0,16,15,9,6.0,1.0,9.0,0.0,0.0,65,1.0,0.0,8.0,4.0,3.0,2.0,0.0,0.0,14,8.0,0.0,10.0,0.0,1.0,75,0.0,2.0,0.0,70,2.0,145,139,0.0,2.0,175,26,162,1.0,1.0,0.0,0.0,0.0,3.0,100,1.0,0.0,3.0,2.0,32,17,12.0,9.0,9.0,0.0,17,3.0,0.0,2.0,18,0.0,7.0,1.0,17,7.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,14,32,0.0,3.0,0.0,0.0,14,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,8.0,2.0,2.0,1.0,0.0,0.0,2.0,8.0,9,26,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40,0.0,0.0,9,0.0,0.0,0.0,0.0,2.0
200904,2.246166666666667,155,5.0,32,26,11,2.0,1.0,0.0,0.0,1.0,110,0.0,2.0,18.0,2.0,0.0,6.0,0.0,0.0,23,18.0,5.0,36.0,0.0,4.0,249,0.0,0.0,2.0,175,4.0,204,197,8.0,2.0,115,7,132,0.0,0.0,0.0,2.0,0.0,7.0,65,2.0,0.0,4.0,0.0,50,27,1.0,13.0,2.0,1.0,21,5.0,0.0,0.0,10,1.0,1.0,8.0,27,0.0,0.0,0.0,0.0,12,1.0,0.0,0.0,4.0,1.0,0.0,0.0,27,21,26,0.0,8.0,0.0,0.0,8,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,7.0,7,25,1.0,0.0,2.0,1.0,8.0,3.0,0.0,1.0,53,0.0,1.0,18,0.0,0.0,0.0,2.0,0.0
200905,2.2423333333333333,299,2.0,27,39,12,11.0,7.0,9.0,2.0,0.0,100,0.0,0.0,9.0,3.0,0.0,3.0,1.0,0.0,54,13.0,0.0,6.0,0.0,6.0,121,0.0,0.0,0.0,55,0.0,197,202,0.0,1.0,232,21,119,2.0,2.0,3.0,0.0,0.0,29.0,129,1.0,0.0,3.0,0.0,42,50,23.0,20.0,3.0,3.0,12,2.0,0.0,1.0,23,0.0,3.0,5.0,51,1.0,0.0,0.0,0.0,13,12.0,0.0,0.0,0.0,7.0,0.0,0.0,21,35,60,0.0,8.0,2.0,0.0,46,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,19,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,8,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,29,121,5.0,5.0,9.0,9.0,18.0,0.0,0.0,0.0,77,0.0,6.0,11,3.0,0.0,0.0,0.0,1.0
200906,2.2385,169,2.0,22,24,6,2.0,7.0,3.0,3.0,0.0,42,6.0,0.0,10.0,0.0,1.0,5.0,1.0,0.0,18,5.0,0.0,11.0,0.0,0.0,47,0.0,0.0,0.0,115,0.0,151,157,0.0,1.0,176,4,77,0.0,0.0,0.0,1.0,0.0,1.0,114,4.0,1.0,0.0,0.0,17,15,7.0,10.0,1.0,0.0,8,0.0,0.0,0.0,32,0.0,0.0,5.0,16,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,38,11,40,0.0,2.0,2.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,28,61,2.0,10.0,3.0,1.0,7.0,8.0,0.0,1.0,52,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0
200907,2.2346666666666666,139,24.0,23,22,10,1.0,2.0,8.0,8.0,0.0,72,2.0,2.0,11.0,0.0,1.0,1.0,0.0,0.0,18,4.0,0.0,14.0,0.0,1.0,29,0.0,0.0,0.0,61,2.0,195,187,2.0,0.0,112,22,80,0.0,0.0,2.0,2.0,2.0,7.0,61,10.0,0.0,3.0,0.0,14,40,3.0,32.0,2.0,2.0,23,0.0,0.0,2.0,26,0.0,0.0,4.0,84,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,24,28,0.0,1.0,0.0,0.0,9,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,14,62,0.0,0.0,5.0,4.0,7.0,0.0,0.0,1.0,49,0.0,10.0,13,2.0,0.0,0.0,0.0,0.0
200908,2.230833333333333,147,10.0,11,23,10,11.0,5.0,2.0,3.0,0.0,71,2.0,0.0,7.0,0.0,7.0,2.0,0.0,0.0,26,4.0,0.0,4.0,0.0,0.0,58,0.0,0.0,0.0,27,11.0,137,125,2.0,12.0,131,23,66,0.0,1.0,0.0,0.0,0.0,26.0,69,11.0,0.0,2.0,0.0,31,21,4.0,4.0,1.0,1.0,9,5.0,0.0,3.0,12,1.0,1.0,3.0,21,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,21,35,0.0,3.0,0.0,0.0,30,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9,66,3.0,14.0,9.0,1.0,25.0,0.0,0.0,0.0,52,0.0,9.0,13,0.0,0.0,0.0,0.0,0.0
200909,2.2270000000000003,196,5.0,14,39,3,8.0,0.0,6.0,3.0,0.0,90,2.0,12.0,5.0,0.0,9.0,2.0,0.0,0.0,35,8.0,5.0,14.0,0.0,10.0,62,0.0,0.0,1.0,118,2.0,218,218,2.0,3.0,122,18,99,0.0,0.0,0.0,0.0,0.0,6.0,77,11.0,0.0,8.0,0.0,45,34,11.0,29.0,6.0,3.0,25,0.0,0.0,1.0,37,0.0,5.0,7.0,50,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16,39,30,0.0,6.0,0.0,0.0,41,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10,0.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,13,158,13.0,3.0,3.0,1.0,10.0,0.0,0.0,12.0,68,0.0,4.0,18,0.0,0.0,0.0,1.0,0.0
200910,2.2231666666666667,326,2.0,35,41,18,8.0,10.0,10.0,5.0,0.0,98,1.0,5.0,10.0,0.0,1.0,6.0,0.0,0.0,35,10.0,1.0,14.0,0.0,3.0,101,0.0,0.0,0.0,215,16.0,207,204,8.0,3.0,170,17,107,1.0,0.0,6.0,0.0,0.0,51.0,87,4.0,9.0,4.0,0.0,61,35,11.0,8.0,28.0,2.0,8,0.0,1.0,7.0,14,0.0,1.0,5.0,52,0.0,0.0,0.0,0.0,12,2.0,0.0,0.0,1.0,0.0,0.0,0.0,101,48,69,0.0,12.0,0.0,0.0,60,0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,20,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1,0.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,56,4.0,0.0,14.0,2.0,4.0,0.0,0.0,4.0,63,0.0,5.0,8,4.0,0.0,0.0,0.0,0.0
