MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,1.7288333333333334,707,5.0,77,177,62,6.0,9.0,25,2.0,0.0,545,1.0,2.0,35.0,3.0,7.0,46.0,0.0,2.0,87,29,3.0,13.0,1.0,9.0,367,0.0,0.0,0.0,526,24.0,354,334,8.0,6.0,419,86,165,2.0,0.0,3.0,14.0,0.0,173,73,46,1.0,1.0,0.0,68,83,3.0,12.0,1.0,0.0,68,32.0,0.0,19.0,67,0.0,1.0,18.0,87,0.0,0.0,0.0,0.0,47,2.0,0.0,4.0,17.0,0.0,1.0,0.0,83,55,121,3.0,84,4.0,0.0,90,0.0,3.0,3.0,2.0,14.0,5.0,9.0,1.0,57.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,20.0,103,0.0,0.0,17.0,14.0,0.0,0.0,0.0,2.0,0.0,49.0,1.0,56.0,1.0,13.0,0.0,3.0,4.0,53,114,7.0,16.0,19.0,12.0,10.0,0.0,0.0,3.0,95,23.0,42.0,8,0.0,6.0,0.0,0.0,0.0,0.0
200902,1.7309166666666669,674,9.0,66,144,24,4.0,25.0,20,3.0,0.0,405,6.0,4.0,4.0,6.0,0.0,10.0,4.0,0.0,62,16,0.0,12.0,1.0,3.0,363,0.0,1.0,0.0,398,15.0,345,341,3.0,1.0,219,53,186,3.0,1.0,9.0,5.0,0.0,120,38,29,6.0,0.0,1.0,27,116,1.0,7.0,0.0,2.0,42,7.0,0.0,9.0,36,3.0,1.0,5.0,69,5.0,0.0,0.0,0.0,32,5.0,0.0,0.0,7.0,1.0,1.0,0.0,69,34,86,0.0,32,1.0,0.0,98,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,35.0,1.0,0.0,6.0,0.0,0.0,0.0,12.0,2.0,10.0,49,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,6.0,18.0,3.0,7.0,3.0,0.0,0.0,0.0,9.0,35,141,0.0,11.0,39.0,15.0,0.0,0.0,1.0,14.0,108,15.0,8.0,46,0.0,0.0,0.0,0.0,0.0,0.0
200903,1.733,497,7.0,60,110,20,4.0,13.0,24,7.0,0.0,437,0.0,3.0,14.0,6.0,7.0,24.0,0.0,1.0,49,24,5.0,17.0,0.0,3.0,301,0.0,0.0,0.0,378,8.0,325,340,1.0,5.0,127,24,272,2.0,0.0,4.0,1.0,0.0,86,51,33,7.0,0.0,5.0,23,102,12.0,9.0,0.0,0.0,36,6.0,1.0,7.0,34,0.0,1.0,2.0,61,1.0,0.0,0.0,0.0,35,4.0,1.0,2.0,3.0,1.0,0.0,0.0,55,19,60,0.0,44,3.0,0.0,74,1.0,1.0,0.0,0.0,6.0,0.0,13.0,2.0,22.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,50,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,40,55,7.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,76,0.0,7.0,13,5.0,2.0,0.0,0.0,0.0,0.0
200904,1.7309999999999999,544,5.0,54,110,38,8.0,8.0,19,0.0,0.0,394,7.0,5.0,11.0,2.0,0.0,10.0,2.0,0.0,162,31,2.0,7.0,3.0,5.0,297,8.0,0.0,2.0,442,8.0,432,407,4.0,5.0,211,41,206,1.0,0.0,6.0,1.0,0.0,170,52,20,1.0,0.0,1.0,32,88,6.0,25.0,2.0,3.0,27,7.0,2.0,6.0,45,0.0,2.0,12.0,46,2.0,0.0,0.0,0.0,29,4.0,0.0,0.0,4.0,1.0,0.0,0.0,72,16,66,0.0,21,0.0,0.0,83,0.0,2.0,0.0,4.0,15.0,0.0,4.0,24.0,29.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,5.0,68,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,13.0,10.0,5.0,9.0,0.0,0.0,0.0,14.0,38,92,4.0,3.0,13.0,32.0,4.0,1.0,0.0,2.0,68,1.0,4.0,4,1.0,0.0,0.0,0.0,0.0,0.0
200905,1.729,504,6.0,46,103,18,9.0,11.0,47,9.0,1.0,375,14.0,2.0,12.0,3.0,2.0,32.0,0.0,2.0,67,38,3.0,13.0,0.0,5.0,353,4.0,0.0,0.0,313,12.0,528,502,4.0,9.0,241,36,229,0.0,1.0,1.0,0.0,0.0,149,47,22,1.0,2.0,1.0,28,88,3.0,7.0,0.0,0.0,48,7.0,0.0,10.0,52,0.0,2.0,19.0,40,3.0,1.0,0.0,0.0,17,0.0,0.0,0.0,3.0,0.0,0.0,0.0,82,37,69,0.0,19,1.0,0.0,101,1.0,1.0,0.0,0.0,3.0,6.0,5.0,5.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,37,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,17.0,3.0,13.0,2.0,3.0,0.0,0.0,3.0,60,102,6.0,0.0,23.0,5.0,7.0,1.0,0.0,5.0,116,1.0,7.0,34,0.0,1.0,0.0,0.0,0.0,4.0
200906,1.7269999999999999,315,0.0,32,56,51,7.0,12.0,22,1.0,0.0,209,33.0,0.0,4.0,1.0,2.0,12.0,0.0,0.0,23,10,2.0,2.0,0.0,13.0,115,0.0,0.0,0.0,149,6.0,177,182,3.0,13.0,148,8,109,1.0,0.0,0.0,2.0,0.0,43,23,29,3.0,7.0,1.0,25,40,1.0,4.0,0.0,0.0,30,2.0,2.0,13.0,81,0.0,0.0,2.0,39,6.0,0.0,0.0,0.0,21,0.0,0.0,2.0,8.0,1.0,0.0,0.0,44,24,60,0.0,17,1.0,0.0,38,0.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,5.0,15,201,33.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,33,0.0,7.0,4,1.0,0.0,0.0,0.0,0.0,1.0
200907,1.725,306,2.0,38,55,55,4.0,2.0,8,0.0,0.0,202,3.0,9.0,3.0,2.0,3.0,11.0,5.0,0.0,104,6,11.0,7.0,0.0,8.0,118,0.0,0.0,0.0,100,0.0,146,131,0.0,1.0,156,17,139,0.0,0.0,6.0,0.0,0.0,102,75,12,0.0,0.0,0.0,15,69,0.0,4.0,0.0,0.0,31,0.0,0.0,12.0,27,0.0,0.0,5.0,48,2.0,0.0,0.0,0.0,27,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41,14,45,0.0,7,0.0,0.0,52,2.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,6.0,25,85,7.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,43,0.0,9.0,16,0.0,0.0,0.0,0.0,0.0,0.0
200908,1.723,594,11.0,69,72,39,8.0,21.0,41,5.0,0.0,469,1.0,5.0,5.0,6.0,3.0,18.0,2.0,3.0,106,9,3.0,3.0,0.0,10.0,272,0.0,0.0,0.0,416,26.0,420,399,5.0,6.0,172,22,190,0.0,0.0,2.0,1.0,0.0,137,113,36,2.0,0.0,0.0,25,94,8.0,8.0,0.0,0.0,70,2.0,0.0,39.0,86,0.0,3.0,9.0,66,0.0,0.0,0.0,0.0,38,8.0,0.0,0.0,3.0,0.0,0.0,0.0,133,17,57,0.0,16,0.0,0.0,96,0.0,2.0,0.0,2.0,7.0,0.0,8.0,11.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,19,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,7.0,13.0,1.0,5.0,1.0,7.0,0.0,0.0,5.0,28,180,3.0,1.0,8.0,4.0,7.0,9.0,1.0,1.0,114,4.0,6.0,12,6.0,5.0,0.0,0.0,0.0,0.0
200909,1.7209999999999999,691,9.0,76,138,44,5.0,19.0,65,39.0,0.0,493,7.0,3.0,7.0,0.0,0.0,24.0,0.0,1.0,110,39,8.0,16.0,3.0,9.0,412,4.0,0.0,1.0,588,25.0,604,582,8.0,14.0,315,65,473,6.0,2.0,29.0,3.0,0.0,85,101,26,6.0,0.0,2.0,51,132,5.0,33.0,1.0,0.0,71,4.0,6.0,23.0,67,1.0,0.0,33.0,137,0.0,0.0,0.0,0.0,40,12.0,0.0,0.0,1.0,2.0,0.0,0.0,94,53,118,4.0,27,1.0,0.0,70,0.0,1.0,1.0,7.0,13.0,4.0,12.0,4.0,32.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,5.0,6.0,28,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,5.0,27.0,3.0,2.0,18.0,0.0,0.0,8.0,16.0,41,226,1.0,0.0,14.0,2.0,14.0,6.0,0.0,7.0,189,0.0,1.0,27,8.0,0.0,0.0,0.0,0.0,0.0
200910,1.719,573,13.0,62,137,36,8.0,14.0,50,0.0,0.0,490,4.0,5.0,13.0,0.0,4.0,24.0,2.0,2.0,83,50,4.0,17.0,1.0,11.0,490,10.0,0.0,5.0,470,10.0,528,471,13.0,17.0,292,67,393,0.0,0.0,9.0,0.0,1.0,193,56,40,16.0,1.0,5.0,50,144,2.0,10.0,0.0,0.0,57,2.0,1.0,26.0,70,0.0,0.0,22.0,128,0.0,10.0,0.0,0.0,38,4.0,0.0,0.0,7.0,0.0,0.0,0.0,86,46,90,4.0,44,3.0,0.0,112,0.0,0.0,0.0,3.0,9.0,1.0,4.0,7.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,34,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,25.0,9.0,0.0,0.0,1.0,0.0,3.0,7.0,49,148,3.0,0.0,14.0,14.0,9.0,0.0,0.0,2.0,89,3.0,4.0,18,2.0,3.0,0.0,0.0,0.0,0.0
