MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_135,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,1.8356666666666668,207,1.0,53,65,17,2.0,6.0,3.0,4.0,0.0,129,4.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,50,11.0,5.0,4.0,0.0,1.0,123,0.0,1.0,1.0,165,6.0,154,124,0.0,1.0,151,58,93,1.0,0.0,2.0,0.0,0.0,69,36,23.0,6.0,2.0,0.0,27.0,19,1.0,0.0,2.0,1.0,20,4.0,0.0,5.0,35,0.0,0.0,5.0,21,0.0,0.0,0.0,0.0,9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,24,26,51,0.0,4.0,6.0,0.0,46,0.0,8.0,2.0,0.0,3.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,5.0,2.0,5.0,0.0,0.0,4.0,20,98,2.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,47,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
200902,1.8378333333333332,277,3.0,45,84,34,1.0,42.0,6.0,2.0,0.0,212,2.0,0.0,4.0,0.0,2.0,6.0,0.0,2.0,57,12.0,7.0,10.0,1.0,5.0,173,5.0,7.0,3.0,221,8.0,211,188,1.0,8.0,204,69,118,1.0,1.0,2.0,0.0,1.0,100,43,6.0,12.0,1.0,6.0,9.0,12,5.0,5.0,0.0,2.0,42,8.0,0.0,3.0,29,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,29,2.0,0.0,0.0,11.0,0.0,0.0,0.0,50,32,82,2.0,7.0,3.0,0.0,92,0.0,18.0,0.0,1.0,6.0,0.0,0.0,7.0,21.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,2.0,7.0,20,106,11.0,0.0,22.0,10.0,10.0,0.0,1.0,0.0,4.0,107,0.0,3.0,12.0,4.0,1.0,0.0,0.0,5.0,4.0
200903,1.84,257,12.0,44,76,25,2.0,10.0,19.0,1.0,0.0,173,1.0,3.0,10.0,3.0,8.0,23.0,4.0,1.0,107,13.0,10.0,7.0,0.0,13.0,197,1.0,16.0,3.0,316,12.0,213,192,12.0,5.0,239,63,164,7.0,0.0,10.0,6.0,0.0,77,24,11.0,1.0,0.0,0.0,31.0,23,3.0,3.0,0.0,5.0,34,14.0,8.0,4.0,27,1.0,0.0,5.0,31,0.0,0.0,0.0,8.0,23,3.0,0.0,0.0,26.0,0.0,1.0,0.0,43,27,50,2.0,19.0,2.0,0.0,69,0.0,9.0,0.0,1.0,3.0,4.0,3.0,4.0,17.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,13.0,6.0,2.0,1.0,15.0,1.0,0.0,8.0,21,169,2.0,0.0,8.0,6.0,13.0,0.0,0.0,0.0,3.0,93,0.0,21.0,19.0,2.0,1.0,0.0,0.0,0.0,6.0
200904,1.8344166666666668,361,9.0,43,90,27,1.0,24.0,26.0,5.0,0.0,183,15.0,4.0,2.0,0.0,4.0,16.0,1.0,0.0,59,33.0,2.0,8.0,0.0,4.0,208,1.0,3.0,1.0,280,6.0,272,260,2.0,1.0,281,57,231,0.0,2.0,2.0,2.0,1.0,36,28,28.0,12.0,2.0,4.0,53.0,22,4.0,18.0,0.0,3.0,35,9.0,0.0,4.0,52,1.0,0.0,8.0,77,0.0,0.0,0.0,0.0,36,13.0,0.0,0.0,5.0,5.0,0.0,0.0,86,47,106,3.0,12.0,8.0,0.0,86,0.0,2.0,0.0,0.0,23.0,1.0,2.0,1.0,50.0,1.0,2.0,0.0,0.0,0.0,14.0,0.0,2.0,42.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,15.0,5.0,0.0,1.0,11.0,4.0,0.0,20.0,28,162,5.0,12.0,20.0,31.0,26.0,3.0,0.0,0.0,15.0,149,0.0,11.0,18.0,3.0,0.0,0.0,0.0,0.0,2.0
200905,1.8288333333333333,357,9.0,56,63,36,4.0,14.0,10.0,0.0,0.0,237,8.0,3.0,4.0,0.0,14.0,9.0,0.0,0.0,70,7.0,12.0,3.0,0.0,7.0,192,5.0,6.0,2.0,189,6.0,260,254,5.0,1.0,194,80,188,2.0,0.0,4.0,3.0,1.0,120,46,2.0,2.0,1.0,0.0,33.0,16,0.0,8.0,0.0,2.0,50,7.0,0.0,10.0,23,2.0,0.0,8.0,54,2.0,0.0,0.0,1.0,43,35.0,0.0,0.0,4.0,0.0,0.0,0.0,78,34,105,7.0,6.0,4.0,0.0,112,0.0,0.0,0.0,12.0,5.0,4.0,1.0,1.0,31.0,1.0,0.0,0.0,0.0,8.0,10.0,2.0,2.0,18.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,13.0,3.0,0.0,0.0,5.0,1.0,6.0,3.0,42,430,30.0,0.0,35.0,5.0,39.0,0.0,0.0,2.0,11.0,133,2.0,3.0,38.0,0.0,0.0,0.0,0.0,4.0,3.0
200906,1.82325,236,1.0,32,67,16,0.0,4.0,13.0,1.0,2.0,124,9.0,0.0,6.0,0.0,5.0,17.0,3.0,0.0,70,18.0,5.0,6.0,0.0,9.0,235,7.0,1.0,0.0,253,0.0,289,275,4.0,3.0,231,106,147,0.0,0.0,21.0,36.0,0.0,48,28,31.0,2.0,0.0,1.0,20.0,13,5.0,1.0,2.0,3.0,24,7.0,0.0,8.0,33,0.0,3.0,4.0,26,0.0,0.0,0.0,1.0,24,3.0,0.0,0.0,14.0,0.0,3.0,0.0,51,21,24,0.0,9.0,0.0,0.0,56,0.0,0.0,0.0,3.0,5.0,4.0,2.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,25.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,8.0,6.0,0.0,0.0,14.0,1.0,0.0,4.0,29,130,6.0,8.0,6.0,0.0,16.0,0.0,0.0,0.0,1.0,107,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0
200907,1.8176666666666668,195,6.0,28,32,10,2.0,11.0,1.0,2.0,0.0,157,8.0,1.0,1.0,4.0,9.0,6.0,1.0,0.0,72,7.0,5.0,2.0,1.0,12.0,75,0.0,0.0,1.0,137,4.0,179,156,0.0,0.0,147,29,89,1.0,0.0,2.0,5.0,0.0,38,49,3.0,0.0,0.0,1.0,22.0,8,0.0,5.0,2.0,0.0,27,6.0,1.0,60.0,15,0.0,0.0,15.0,26,0.0,0.0,0.0,2.0,19,0.0,0.0,0.0,9.0,0.0,0.0,0.0,36,27,34,0.0,4.0,0.0,0.0,57,0.0,0.0,3.0,1.0,13.0,5.0,1.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,11,72,1.0,0.0,6.0,0.0,7.0,2.0,0.0,0.0,2.0,57,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0
200908,1.8120833333333333,128,4.0,22,32,15,1.0,5.0,16.0,6.0,0.0,95,2.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,16,13.0,1.0,1.0,0.0,3.0,86,0.0,0.0,0.0,98,0.0,250,256,5.0,1.0,67,14,63,0.0,0.0,0.0,9.0,0.0,22,23,20.0,0.0,2.0,0.0,24.0,7,2.0,5.0,0.0,0.0,11,0.0,0.0,5.0,37,1.0,0.0,0.0,34,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32,27,13,0.0,1.0,0.0,0.0,45,0.0,1.0,0.0,3.0,15.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,0.0,0.0,5.0,18,75,16.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,61,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0
200909,1.8065,218,1.0,36,94,27,7.0,13.0,21.0,2.0,0.0,166,4.0,3.0,3.0,3.0,3.0,15.0,1.0,0.0,58,17.0,4.0,3.0,0.0,19.0,215,2.0,0.0,3.0,256,0.0,282,286,5.0,2.0,173,65,142,2.0,0.0,1.0,6.0,0.0,76,18,25.0,0.0,0.0,1.0,27.0,18,4.0,5.0,0.0,1.0,26,3.0,0.0,4.0,40,0.0,1.0,7.0,46,0.0,0.0,0.0,0.0,25,1.0,0.0,0.0,2.0,19.0,0.0,0.0,57,42,77,0.0,11.0,2.0,0.0,47,0.0,0.0,0.0,5.0,8.0,2.0,8.0,0.0,14.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,19.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,2.0,11.0,0.0,0.0,4.0,18,142,15.0,2.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,90,0.0,8.0,14.0,5.0,1.0,0.0,0.0,0.0,1.0
200910,1.8009166666666667,225,5.0,43,70,22,8.0,11.0,8.0,0.0,0.0,158,4.0,7.0,3.0,2.0,2.0,9.0,0.0,0.0,100,13.0,8.0,1.0,0.0,2.0,206,0.0,0.0,2.0,224,20.0,218,203,7.0,5.0,263,72,160,0.0,0.0,0.0,3.0,0.0,101,37,21.0,1.0,0.0,0.0,9.0,16,3.0,2.0,0.0,0.0,14,5.0,3.0,34.0,25,0.0,0.0,10.0,35,1.0,0.0,0.0,0.0,51,0.0,0.0,0.0,6.0,0.0,0.0,0.0,87,44,60,0.0,12.0,2.0,0.0,67,0.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,19.0,3.0,0.0,0.0,3.0,23,167,13.0,3.0,17.0,1.0,5.0,0.0,0.0,0.0,6.0,142,0.0,1.0,11.0,0.0,5.0,0.0,0.0,0.0,30.0
