MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,2.214833333333333,254,13.0,35,61,22.0,9.0,15.0,44.0,4.0,0.0,140,5.0,2.0,10.0,11.0,17.0,7.0,2.0,0.0,51,10,5.0,13,0.0,4.0,147,2.0,0.0,0.0,160,2.0,245,212,0.0,2.0,104,33,135,4.0,0.0,0.0,4.0,0.0,31,62,26,8.0,2.0,0.0,40,45,3.0,16.0,0.0,0.0,33,12.0,10.0,12.0,45,0.0,0.0,12.0,52,0.0,0.0,0.0,1.0,29,4.0,0.0,0.0,1.0,2.0,1.0,0.0,42,27,59,2.0,25,4.0,0.0,73,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,18,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,12,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,8.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,12.0,22,147,5.0,0.0,8,1.0,42.0,2.0,0.0,0.0,6.0,68,2.0,12.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0
200902,2.2239166666666668,323,5.0,80,65,13.0,5.0,13.0,11.0,1.0,0.0,172,3.0,0.0,9.0,0.0,6.0,14.0,1.0,0.0,43,6,0.0,5,0.0,7.0,97,0.0,0.0,0.0,224,6.0,230,223,2.0,0.0,111,25,125,1.0,0.0,5.0,18.0,9.0,29,42,29,5.0,0.0,0.0,16,48,3.0,5.0,0.0,1.0,48,4.0,2.0,3.0,35,0.0,0.0,29.0,72,0.0,0.0,0.0,0.0,30,9.0,0.0,0.0,1.0,2.0,0.0,0.0,27,32,158,3.0,25,0.0,0.0,91,0.0,4.0,0.0,8.0,7.0,0.0,6.0,3.0,1.0,18,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,9,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,9.0,0.0,2.0,0.0,8.0,0.0,3.0,5.0,57,202,8.0,11.0,11,1.0,105.0,2.0,0.0,6.0,8.0,90,0.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0
200903,2.233,430,14.0,60,80,30.0,25.0,23.0,5.0,8.0,1.0,156,6.0,0.0,14.0,0.0,3.0,14.0,1.0,0.0,68,11,0.0,10,0.0,2.0,156,0.0,0.0,0.0,208,0.0,256,234,0.0,0.0,129,94,117,2.0,0.0,0.0,33.0,40.0,44,84,36,6.0,1.0,0.0,48,44,12.0,5.0,10.0,1.0,36,1.0,1.0,5.0,30,0.0,2.0,17.0,65,0.0,0.0,0.0,0.0,34,1.0,0.0,0.0,3.0,0.0,0.0,0.0,27,51,135,0.0,19,0.0,0.0,85,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,21,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,8,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,12.0,31,167,1.0,3.0,18,4.0,89.0,1.0,0.0,4.0,4.0,88,0.0,50.0,35.0,2.0,2.0,0.0,0.0,0.0,0.0
200904,2.23075,361,16.0,59,73,12.0,6.0,16.0,7.0,5.0,2.0,129,2.0,3.0,5.0,0.0,3.0,31.0,1.0,2.0,52,14,0.0,15,0.0,9.0,202,10.0,0.0,0.0,231,14.0,256,250,5.0,7.0,197,36,95,2.0,1.0,3.0,21.0,4.0,29,72,28,5.0,1.0,0.0,42,32,8.0,8.0,1.0,4.0,68,3.0,0.0,4.0,59,0.0,0.0,23.0,71,0.0,0.0,0.0,0.0,28,1.0,0.0,2.0,2.0,7.0,0.0,0.0,63,48,145,0.0,18,4.0,0.0,79,0.0,4.0,0.0,3.0,7.0,0.0,6.0,4.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,10,0.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,7.0,15.0,0.0,2.0,6.0,0.0,4.0,5.0,28,126,9.0,0.0,20,10.0,92.0,3.0,0.0,0.0,2.0,249,1.0,18.0,161.0,36.0,0.0,0.0,0.0,0.0,0.0
200905,2.2285,322,8.0,67,78,27.0,1.0,17.0,18.0,9.0,1.0,181,5.0,6.0,3.0,1.0,8.0,16.0,1.0,0.0,36,25,1.0,14,0.0,7.0,142,4.0,1.0,0.0,284,2.0,197,189,8.0,1.0,113,29,75,1.0,2.0,0.0,1.0,1.0,62,17,24,0.0,1.0,0.0,33,37,3.0,15.0,2.0,0.0,31,3.0,0.0,1.0,40,0.0,0.0,13.0,54,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,6.0,5.0,0.0,0.0,38,36,66,0.0,41,3.0,0.0,76,0.0,2.0,0.0,6.0,10.0,0.0,0.0,6.0,0.0,24,2.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,4.0,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,6.0,0.0,2.0,16.0,29,90,10.0,2.0,16,2.0,18.0,0.0,0.0,0.0,6.0,43,0.0,6.0,19.0,10.0,0.0,0.0,0.0,1.0,1.0
200906,2.2262500000000003,342,14.0,65,88,40.0,8.0,30.0,23.0,6.0,1.0,153,2.0,0.0,23.0,0.0,7.0,9.0,2.0,0.0,45,15,2.0,10,0.0,13.0,204,0.0,2.0,0.0,234,1.0,250,231,2.0,0.0,122,28,93,0.0,0.0,2.0,10.0,2.0,19,37,24,7.0,1.0,0.0,33,30,21.0,6.0,2.0,1.0,38,6.0,0.0,14.0,57,0.0,10.0,12.0,66,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,3.0,2.0,0.0,0.0,62,47,94,0.0,31,4.0,0.0,72,0.0,0.0,1.0,2.0,15.0,0.0,0.0,11.0,0.0,23,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,9.0,10.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,26,92,8.0,3.0,5,2.0,64.0,1.0,0.0,0.0,3.0,74,3.0,7.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0
200907,2.224,165,10.0,36,56,12.0,4.0,6.0,24.0,0.0,0.0,91,8.0,4.0,3.0,1.0,11.0,4.0,0.0,0.0,22,21,2.0,6,0.0,5.0,184,0.0,0.0,0.0,147,4.0,189,191,0.0,7.0,108,48,81,1.0,0.0,0.0,3.0,0.0,22,25,19,0.0,0.0,0.0,23,21,1.0,1.0,2.0,0.0,11,4.0,0.0,0.0,32,0.0,0.0,7.0,36,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,2.0,1.0,0.0,0.0,102,14,48,0.0,12,1.0,0.0,37,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,13,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,14,79,10.0,0.0,3,4.0,37.0,0.0,0.0,0.0,4.0,67,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
200908,2.22175,339,14.0,54,88,42.0,15.0,9.0,7.0,2.0,0.0,177,10.0,0.0,9.0,0.0,7.0,14.0,4.0,0.0,109,22,0.0,10,0.0,6.0,140,0.0,0.0,1.0,205,5.0,291,259,8.0,18.0,112,47,102,0.0,0.0,0.0,12.0,11.0,43,91,41,4.0,1.0,0.0,29,39,2.0,10.0,0.0,0.0,29,4.0,0.0,4.0,36,0.0,0.0,35.0,63,0.0,0.0,0.0,0.0,37,1.0,0.0,0.0,1.0,9.0,0.0,0.0,53,46,69,0.0,45,3.0,0.0,62,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,19,1.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,3.0,12,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,7.0,16.0,27,196,11.0,0.0,14,2.0,35.0,0.0,0.0,0.0,9.0,68,3.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
200909,2.2195,348,17.0,44,82,36.0,11.0,19.0,24.0,1.0,0.0,212,11.0,3.0,3.0,0.0,20.0,16.0,0.0,0.0,77,12,3.0,16,0.0,13.0,135,0.0,0.0,0.0,222,1.0,364,320,6.0,0.0,136,55,174,3.0,2.0,0.0,4.0,2.0,88,87,57,2.0,0.0,0.0,46,40,6.0,28.0,5.0,4.0,54,5.0,0.0,5.0,36,0.0,5.0,16.0,69,0.0,1.0,3.0,4.0,43,1.0,0.0,0.0,14.0,3.0,0.0,0.0,70,53,173,0.0,53,4.0,3.0,72,0.0,1.0,2.0,5.0,7.0,0.0,5.0,4.0,0.0,46,1.0,0.0,5.0,0.0,0.0,0.0,9.0,3.0,6.0,68,0.0,0.0,1.0,33.0,8.0,0.0,7.0,8.0,7.0,21.0,0.0,2.0,2.0,1.0,0.0,8.0,1.0,35,241,23.0,35.0,4,2.0,50.0,0.0,0.0,0.0,4.0,171,1.0,31.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0
200910,2.21725,384,16.0,71,103,59.0,10.0,22.0,24.0,6.0,0.0,222,16.0,1.0,12.0,0.0,6.0,21.0,0.0,9.0,77,29,4.0,47,0.0,17.0,288,8.0,0.0,15.0,466,22.0,374,365,3.0,5.0,188,53,199,5.0,0.0,4.0,1.0,2.0,76,57,42,2.0,5.0,0.0,55,35,7.0,45.0,0.0,15.0,36,1.0,0.0,3.0,42,0.0,4.0,21.0,52,0.0,0.0,0.0,4.0,46,3.0,0.0,1.0,6.0,4.0,0.0,0.0,93,91,122,1.0,44,0.0,0.0,138,0.0,1.0,0.0,11.0,8.0,0.0,0.0,9.0,0.0,39,8.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,40,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,13.0,1.0,1.0,2.0,4.0,0.0,2.0,4.0,37,189,6.0,0.0,7,3.0,26.0,0.0,0.0,0.0,5.0,85,1.0,8.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0
