MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,1.6115000000000002,328,2.0,32,51,42,2.0,1.0,2.0,2.0,0.0,196,2.0,0.0,16.0,0.0,4.0,9.0,2.0,2.0,61,15,1.0,2,0.0,15.0,183,0.0,0.0,0.0,284,23.0,173,157,2.0,5.0,159,28,96,0.0,0.0,0.0,2.0,0.0,61,59,92,1.0,2.0,0.0,23,47,9.0,28.0,1.0,0.0,30.0,5.0,0.0,15.0,46,0.0,0.0,5.0,49,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,4.0,0.0,0.0,0.0,75,91,94.0,1.0,6.0,4.0,0.0,42,0.0,0.0,0.0,0.0,6.0,1.0,4.0,3.0,12,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19,1.0,22.0,0.0,4.0,2.0,0.0,4.0,53,69,17.0,0.0,2.0,31.0,13.0,0.0,0.0,2.0,130,1.0,5.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0
200902,1.61275,318,5.0,57,67,23,1.0,5.0,4.0,2.0,0.0,183,5.0,3.0,8.0,2.0,1.0,9.0,5.0,1.0,106,14,2.0,19,1.0,3.0,188,0.0,0.0,2.0,269,6.0,247,242,3.0,8.0,147,30,113,3.0,1.0,4.0,0.0,0.0,97,79,26,0.0,0.0,2.0,31,67,2.0,0.0,0.0,2.0,29.0,2.0,0.0,15.0,33,0.0,0.0,3.0,76,0.0,0.0,0.0,0.0,32,0.0,1.0,0.0,1.0,2.0,0.0,0.0,36,55,101.0,2.0,21.0,0.0,0.0,64,0.0,1.0,4.0,5.0,1.0,8.0,5.0,1.0,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,9,3.0,1.0,8.0,3.0,0.0,0.0,14.0,39,84,4.0,0.0,8.0,1.0,21.0,0.0,0.0,7.0,63,1.0,6.0,12.0,0.0,5.0,0.0,0.0,0.0,2.0
200903,1.614,391,13.0,72,66,31,21.0,2.0,10.0,0.0,0.0,259,12.0,10.0,26.0,1.0,8.0,43.0,2.0,1.0,84,28,7.0,35,0.0,2.0,317,6.0,0.0,0.0,387,6.0,338,288,5.0,4.0,373,77,167,1.0,1.0,4.0,3.0,0.0,96,84,23,6.0,1.0,3.0,43,151,5.0,23.0,0.0,0.0,27.0,4.0,0.0,7.0,45,1.0,0.0,15.0,51,3.0,0.0,0.0,0.0,43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,51,35,117.0,0.0,12.0,0.0,0.0,99,0.0,4.0,2.0,2.0,13.0,2.0,7.0,1.0,20,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9,4.0,1.0,1.0,5.0,2.0,0.0,3.0,81,85,10.0,2.0,6.0,5.0,10.0,3.0,0.0,2.0,39,6.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
200904,1.6135000000000002,382,3.0,75,70,17,14.0,60.0,13.0,7.0,0.0,259,10.0,10.0,25.0,11.0,14.0,35.0,2.0,0.0,68,18,3.0,8,0.0,9.0,236,8.0,0.0,0.0,341,4.0,335,313,6.0,1.0,276,67,235,0.0,1.0,2.0,3.0,0.0,109,79,28,0.0,1.0,0.0,52,67,3.0,6.0,5.0,2.0,52.0,3.0,4.0,27.0,50,0.0,5.0,7.0,38,0.0,0.0,0.0,0.0,74,3.0,0.0,0.0,12.0,2.0,0.0,0.0,50,118,298.0,0.0,11.0,0.0,0.0,81,0.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,34,2.0,4.0,0.0,0.0,0.0,3.0,10.0,17.0,58.0,7.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,6.0,16,11.0,1.0,3.0,1.0,3.0,0.0,23.0,51,105,48.0,16.0,11.0,6.0,3.0,0.0,0.0,8.0,100,2.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
200905,1.6130000000000002,325,3.0,42,72,15,4.0,12.0,45.0,3.0,0.0,172,2.0,3.0,4.0,3.0,0.0,19.0,6.0,1.0,73,27,0.0,9,0.0,5.0,362,2.0,0.0,0.0,315,0.0,378,348,4.0,6.0,178,36,191,0.0,2.0,14.0,1.0,0.0,105,48,27,6.0,1.0,0.0,38,87,4.0,3.0,4.0,1.0,30.0,2.0,1.0,6.0,42,0.0,0.0,2.0,42,0.0,0.0,0.0,0.0,27,4.0,0.0,0.0,2.0,0.0,0.0,0.0,43,45,67.0,0.0,4.0,0.0,0.0,74,0.0,5.0,0.0,2.0,8.0,3.0,7.0,0.0,16,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,21.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,8,7.0,1.0,4.0,1.0,1.0,0.0,6.0,32,45,0.0,0.0,5.0,16.0,0.0,0.0,0.0,1.0,52,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
200906,1.6125,214,1.0,23,38,21,5.0,11.0,16.0,6.0,0.0,127,3.0,0.0,7.0,1.0,1.0,5.0,0.0,0.0,49,10,2.0,2,0.0,1.0,157,6.0,0.0,0.0,158,0.0,165,171,3.0,6.0,137,23,160,2.0,0.0,3.0,7.0,0.0,155,36,23,1.0,0.0,0.0,48,26,3.0,3.0,0.0,7.0,22.0,2.0,0.0,2.0,14,0.0,2.0,15.0,33,0.0,0.0,0.0,0.0,12,2.0,0.0,0.0,3.0,0.0,0.0,0.0,29,95,67.0,0.0,11.0,0.0,0.0,49,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3,0.0,0.0,1.0,0.0,1.0,2.0,14.0,18,60,6.0,0.0,8.0,0.0,4.0,1.0,0.0,1.0,98,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
200907,1.6119999999999999,218,0.0,24,60,12,2.0,11.0,2.0,3.0,0.0,108,6.0,0.0,1.0,8.0,1.0,2.0,5.0,2.0,134,4,3.0,5,6.0,1.0,181,0.0,0.0,0.0,147,13.0,174,159,25.0,4.0,113,30,84,0.0,5.0,4.0,11.0,0.0,221,12,14,4.0,0.0,0.0,62,31,7.0,5.0,3.0,2.0,27.0,0.0,0.0,34.0,30,0.0,3.0,4.0,63,0.0,0.0,1.0,0.0,17,3.0,0.0,0.0,1.0,0.0,0.0,0.0,27,42,68.0,0.0,14.0,0.0,1.0,39,2.0,0.0,0.0,6.0,4.0,0.0,5.0,1.0,15,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4,7.0,0.0,0.0,0.0,0.0,0.0,1.0,16,91,0.0,4.0,3.0,0.0,1.0,0.0,10.0,0.0,40,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
200908,1.6115000000000002,319,11.0,26,52,19,4.0,19.0,13.0,1.0,0.0,130,5.0,4.0,4.0,2.0,2.0,14.0,2.0,0.0,95,27,7.0,16,0.0,1.0,149,0.0,0.0,0.0,210,12.0,238,208,1.0,2.0,109,61,129,1.0,0.0,2.0,1.0,0.0,118,44,24,5.0,0.0,0.0,42,98,1.0,2.0,0.0,0.0,24.0,4.0,1.0,11.0,40,0.0,1.0,2.0,39,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,28,43.0,0.0,14.0,0.0,0.0,59,0.0,0.0,0.0,1.0,6.0,4.0,6.0,0.0,13,0.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,24.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,12,3.0,0.0,0.0,4.0,0.0,0.0,4.0,16,69,0.0,0.0,6.0,5.0,12.0,0.0,0.0,3.0,75,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
200909,1.6110000000000002,368,4.0,44,80,20,5.0,4.0,6.0,0.0,0.0,338,1.0,9.0,5.0,0.0,2.0,43.0,1.0,1.0,95,28,9.0,11,0.0,4.0,257,0.0,0.0,0.0,290,4.0,292,271,6.0,8.0,142,68,207,0.0,0.0,4.0,9.0,0.0,210,39,32,2.0,0.0,1.0,31,60,3.0,4.0,0.0,4.0,21.0,5.0,0.0,19.0,60,1.0,1.0,1.0,48,0.0,0.0,0.0,0.0,75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84,75,56.0,0.0,19.0,0.0,0.0,58,0.0,0.0,1.0,3.0,7.0,0.0,8.0,0.0,12,6.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,37,13.0,2.0,5.0,3.0,0.0,2.0,3.0,18,31,7.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,39,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
200910,1.6105,457,9.0,82,91,48,14.0,15.0,30.0,2.0,0.0,398,3.0,18.0,4.0,3.0,14.0,32.0,3.0,0.0,106,37,7.0,43,1.0,12.0,510,5.0,0.0,0.0,551,10.0,619,550,6.0,7.0,349,56,467,0.0,9.0,5.0,6.0,5.0,67,81,29,8.0,0.0,1.0,68,107,3.0,3.0,3.0,5.0,34.0,0.0,1.0,65.0,39,0.0,0.0,27.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,2.0,2.0,0.0,0.0,139,95,87.0,0.0,16.0,0.0,0.0,110,0.0,1.0,5.0,4.0,13.0,1.0,4.0,0.0,46,0.0,5.0,3.0,0.0,0.0,16.0,0.0,7.0,38.0,5.0,53.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,20,8.0,0.0,0.0,9.0,0.0,1.0,5.0,48,78,8.0,0.0,6.0,4.0,12.0,0.0,0.0,6.0,72,0.0,21.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0
