MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,2.0535,226,1.0,19,22.0,7.0,0.0,5.0,11.0,3.0,0.0,107,0.0,5.0,7.0,0.0,18.0,4.0,0.0,0.0,22.0,6.0,1.0,10.0,0.0,0.0,44,0.0,0.0,0.0,97,0.0,179,160,0.0,1.0,37,8.0,102,1.0,0.0,0.0,0.0,2.0,37.0,34,5.0,1.0,0.0,0.0,26,17,0.0,4.0,2.0,0.0,18.0,0.0,1.0,1.0,41,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,1.0,13,40,61,0.0,4.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,15.0,68,0.0,4.0,3.0,4.0,6.0,0.0,0.0,2.0,139,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
200902,2.0537500000000004,98,0.0,22,19.0,1.0,2.0,1.0,7.0,1.0,0.0,112,1.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,37.0,16.0,1.0,7.0,0.0,5.0,153,1.0,0.0,1.0,107,0.0,171,142,0.0,5.0,45,18.0,82,0.0,0.0,19.0,0.0,0.0,48.0,14,12.0,0.0,0.0,0.0,24,20,6.0,2.0,1.0,0.0,33.0,1.0,0.0,1.0,15,0.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,1.0,0.0,17,33,56,2.0,9.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81,13.0,4.0,0.0,2.0,19.0,0.0,0.0,0.0,54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200903,2.0540000000000003,142,0.0,30,25.0,7.0,0.0,1.0,13.0,0.0,0.0,97,0.0,0.0,2.0,1.0,4.0,15.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,46,0.0,0.0,4.0,54,4.0,110,110,2.0,9.0,43,7.0,81,0.0,0.0,0.0,0.0,0.0,23.0,27,4.0,3.0,0.0,0.0,14,10,2.0,5.0,0.0,0.0,45.0,4.0,0.0,2.0,15,1.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,24,29,138,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,22.0,3.0,0.0,1.0,1.0,14.0,74,4.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,68,0.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
200904,2.063,156,1.0,11,27.0,6.0,3.0,0.0,8.0,0.0,0.0,122,1.0,1.0,2.0,0.0,10.0,8.0,2.0,0.0,34.0,1.0,0.0,2.0,0.0,2.0,42,0.0,0.0,0.0,139,0.0,235,231,6.0,8.0,30,5.0,64,0.0,0.0,0.0,2.0,1.0,40.0,20,4.0,0.0,0.0,0.0,8,12,1.0,4.0,0.0,0.0,36.0,5.0,0.0,12.0,46,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0,20,3.0,0.0,0.0,1.0,1.0,22,18,85,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,21.0,83,11.0,0.0,2.0,1.0,24.0,0.0,0.0,2.0,37,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200905,2.072,145,0.0,18,16.0,4.0,0.0,0.0,2.0,4.0,0.0,150,0.0,4.0,7.0,3.0,1.0,18.0,5.0,0.0,35.0,0.0,0.0,0.0,0.0,13.0,93,4.0,0.0,1.0,145,0.0,148,143,2.0,10.0,146,27.0,81,0.0,0.0,0.0,0.0,2.0,106.0,42,13.0,0.0,0.0,0.0,17,13,1.0,1.0,0.0,2.0,23.0,10.0,0.0,11.0,17,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,1.0,46,23,64,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,11.0,46,7.0,6.0,0.0,0.0,15.0,0.0,0.0,1.0,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
200906,2.0810000000000004,182,0.0,21,38.0,16.0,4.0,3.0,12.0,6.0,0.0,104,0.0,0.0,4.0,0.0,1.0,9.0,2.0,0.0,47.0,3.0,3.0,9.0,0.0,9.0,81,0.0,0.0,0.0,118,4.0,124,116,0.0,8.0,53,14.0,75,0.0,0.0,0.0,2.0,0.0,63.0,33,4.0,1.0,0.0,0.0,31,6,0.0,10.0,0.0,0.0,9.0,0.0,0.0,17.0,5,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,18,30,48,0.0,5.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,20.0,28,4.0,3.0,6.0,0.0,2.0,0.0,0.0,3.0,114,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
200907,2.0900000000000003,78,0.0,2,18.0,3.0,3.0,4.0,4.0,1.0,1.0,26,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,8.0,30,0.0,0.0,0.0,43,5.0,82,75,0.0,6.0,52,2.0,35,0.0,2.0,0.0,0.0,0.0,3.0,3,0.0,1.0,0.0,0.0,17,3,0.0,6.0,0.0,0.0,4.0,5.0,1.0,10.0,6,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,18,9,9,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,8.0,0.0,0.0,0.0,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,28,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
200908,2.099,51,2.0,12,11.0,8.0,1.0,0.0,5.0,0.0,0.0,51,1.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,44,0.0,0.0,0.0,69,1.0,109,92,0.0,1.0,43,8.0,55,2.0,0.0,0.0,0.0,0.0,0.0,17,3.0,6.0,0.0,0.0,20,7,0.0,1.0,6.0,0.0,18.0,2.0,0.0,0.0,4,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,4,8,19,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16,0.0,0.0,5.0,0.0,9.0,4.0,0.0,0.0,28,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0
200909,2.108,110,0.0,12,12.0,2.0,1.0,0.0,8.0,0.0,0.0,55,1.0,3.0,7.0,1.0,5.0,1.0,0.0,1.0,23.0,1.0,1.0,3.0,0.0,0.0,36,0.0,0.0,0.0,22,2.0,96,68,0.0,1.0,25,3.0,100,1.0,0.0,0.0,1.0,0.0,37.0,25,1.0,7.0,0.0,0.0,18,15,1.0,39.0,0.0,6.0,6.0,0.0,0.0,1.0,14,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,17,33,14,0.0,6.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,29,2.0,12.0,4.0,1.0,7.0,0.0,0.0,0.0,53,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
200910,2.117,132,1.0,17,32.0,4.0,2.0,19.0,0.0,0.0,0.0,67,1.0,7.0,1.0,0.0,8.0,8.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,35,0.0,0.0,0.0,95,0.0,151,138,0.0,0.0,33,30.0,67,1.0,0.0,0.0,0.0,0.0,4.0,46,3.0,4.0,0.0,0.0,13,15,3.0,4.0,0.0,1.0,23.0,0.0,0.0,1.0,30,0.0,3.0,16.0,14.0,0.0,0.0,0.0,0.0,17,3.0,0.0,0.0,1.0,0.0,10,15,25,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,17,0.0,0.0,5.0,1.0,8.0,0.0,0.0,2.0,86,0.0,4.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0
