MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200901,1.9336666666666664,303,7.0,102,99,40,6,18,20,7.0,0.0,315,1.0,8.0,52.0,0.0,16.0,34,19.0,0.0,119,33,2.0,28,0.0,19.0,493,3.0,0.0,0.0,630,34.0,555,506,6.0,17.0,360,55,203,8.0,21.0,0.0,4.0,0.0,213,68,10,1.0,6.0,1.0,102,56,11.0,47.0,0.0,1.0,47,11.0,0.0,7.0,47,1.0,2.0,25,47,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,1.0,2.0,0.0,0.0,46,89,61,5.0,15,0.0,0.0,94,0.0,2.0,0.0,5.0,33.0,2.0,0.0,0.0,31,4.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,4.0,117,0.0,1.0,1.0,12.0,9.0,0.0,1.0,0.0,2.0,43,42.0,1.0,11.0,6.0,0.0,3.0,1.0,6.0,34,68,10.0,37.0,28.0,4.0,18,3.0,0.0,0.0,4.0,187,0.0,43,35,15.0,13.0,0.0,0.0,3.0,2.0
200902,1.9343333333333332,286,5.0,54,88,16,5,12,10,5.0,0.0,178,3.0,7.0,23.0,8.0,5.0,21,19.0,1.0,79,14,8.0,8,0.0,0.0,291,7.0,0.0,0.0,315,4.0,353,330,3.0,11.0,238,88,190,3.0,0.0,12.0,3.0,0.0,169,65,62,4.0,37.0,0.0,36,56,5.0,13.0,0.0,2.0,55,7.0,0.0,8.0,30,0.0,6.0,9,25,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,2.0,7.0,0.0,0.0,18,38,82,0.0,22,8.0,0.0,57,0.0,2.0,0.0,2.0,5.0,0.0,6.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9,7.0,4.0,1.0,0.0,0.0,0.0,2.0,20.0,26,113,26.0,0.0,6.0,0.0,38,6.0,0.0,0.0,9.0,100,2.0,17,27,3.0,7.0,0.0,0.0,0.0,1.0
200903,1.935,243,12.0,50,86,35,5,31,22,8.0,1.0,196,1.0,3.0,4.0,0.0,7.0,15,1.0,1.0,69,14,1.0,21,0.0,4.0,309,5.0,0.0,0.0,306,10.0,461,463,4.0,2.0,221,44,165,3.0,0.0,4.0,3.0,0.0,173,45,47,7.0,1.0,1.0,45,53,2.0,15.0,0.0,0.0,35,10.0,0.0,7.0,42,0.0,1.0,8,41,0.0,0.0,0.0,0.0,25,1.0,0.0,0.0,2.0,2.0,0.0,0.0,45,28,91,0.0,13,4.0,0.0,71,0.0,1.0,4.0,5.0,6.0,0.0,2.0,1.0,15,5.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,5,0.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,10,3.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,39,107,4.0,0.0,7.0,2.0,14,2.0,0.0,0.0,3.0,81,1.0,18,76,6.0,0.0,0.0,0.0,0.0,0.0
200904,1.9360833333333332,404,1.0,65,94,13,10,5,17,0.0,1.0,156,3.0,1.0,3.0,0.0,17.0,29,18.0,3.0,63,25,1.0,8,2.0,1.0,627,4.0,0.0,3.0,700,17.0,450,428,34.0,1.0,492,51,216,0.0,0.0,0.0,21.0,2.0,189,54,20,3.0,3.0,2.0,37,42,3.0,9.0,0.0,0.0,27,4.0,0.0,0.0,47,0.0,1.0,7,55,8.0,0.0,0.0,0.0,44,1.0,0.0,0.0,2.0,4.0,0.0,0.0,51,49,73,0.0,3,0.0,0.0,47,0.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,6,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8,3.0,0.0,0.0,14.0,0.0,0.0,3.0,2.0,23,138,8.0,0.0,5.0,1.0,29,0.0,0.0,1.0,3.0,82,1.0,11,16,2.0,0.0,0.0,0.0,0.0,1.0
200905,1.9371666666666667,553,7.0,97,210,47,19,7,56,27.0,0.0,389,2.0,8.0,3.0,1.0,15.0,28,7.0,5.0,115,13,5.0,10,2.0,14.0,912,5.0,0.0,0.0,756,24.0,1332,1339,16.0,4.0,457,134,515,5.0,0.0,5.0,45.0,3.0,159,74,177,13.0,4.0,2.0,75,42,8.0,18.0,7.0,11.0,113,2.0,2.0,12.0,44,4.0,4.0,20,73,2.0,0.0,0.0,0.0,70,1.0,0.0,0.0,2.0,0.0,0.0,1.0,71,123,78,0.0,16,0.0,0.0,128,0.0,0.0,1.0,5.0,14.0,9.0,6.0,0.0,69,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,0.0,15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11,4.0,1.0,7.0,18.0,0.0,0.0,2.0,1.0,27,104,6.0,0.0,3.0,1.0,12,11.0,0.0,1.0,5.0,127,2.0,17,28,2.0,0.0,0.0,0.0,3.0,0.0
200906,1.93825,251,11.0,47,81,23,8,4,26,1.0,2.0,153,2.0,5.0,6.0,2.0,0.0,8,7.0,0.0,65,18,1.0,8,0.0,5.0,138,6.0,0.0,0.0,323,9.0,285,294,45.0,1.0,268,68,192,8.0,0.0,2.0,1.0,0.0,274,43,40,0.0,16.0,0.0,25,42,1.0,18.0,0.0,1.0,26,1.0,0.0,11.0,46,0.0,0.0,6,37,1.0,0.0,0.0,0.0,18,2.0,0.0,0.0,1.0,5.0,0.0,0.0,20,38,33,0.0,6,2.0,0.0,55,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,16,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,14,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,4.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,20,96,7.0,0.0,6.0,12.0,15,2.0,0.0,0.0,1.0,86,2.0,14,19,0.0,0.0,0.0,0.0,0.0,0.0
200907,1.9393333333333331,249,4.0,35,62,15,1,6,7,10.0,0.0,179,9.0,3.0,6.0,0.0,3.0,11,5.0,0.0,69,16,5.0,6,1.0,23.0,219,1.0,0.0,0.0,324,11.0,379,342,0.0,5.0,186,58,160,1.0,0.0,4.0,2.0,0.0,200,39,27,3.0,3.0,0.0,26,25,11.0,5.0,0.0,4.0,27,5.0,0.0,5.0,37,0.0,0.0,4,44,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,5.0,1.0,0.0,0.0,26,31,30,0.0,10,0.0,0.0,96,0.0,0.0,0.0,4.0,5.0,0.0,6.0,0.0,21,8.0,0.0,2.0,0.0,0.0,0.0,9.0,2.0,8.0,13,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14,3.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,19,107,3.0,11.0,0.0,1.0,15,2.0,0.0,0.0,20.0,91,6.0,4,23,0.0,0.0,0.0,0.0,0.0,1.0
200908,1.940416666666667,329,3.0,54,99,40,13,27,53,26.0,2.0,241,4.0,1.0,7.0,0.0,5.0,14,6.0,0.0,87,16,1.0,10,0.0,2.0,151,0.0,0.0,2.0,378,17.0,443,422,7.0,3.0,274,51,197,5.0,1.0,5.0,0.0,1.0,103,45,30,2.0,3.0,0.0,30,42,3.0,23.0,6.0,2.0,42,12.0,0.0,2.0,40,4.0,3.0,11,86,0.0,0.0,0.0,0.0,35,4.0,0.0,0.0,3.0,2.0,0.0,0.0,40,54,81,0.0,52,1.0,0.0,97,0.0,2.0,0.0,7.0,4.0,0.0,5.0,0.0,43,5.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,24,16.0,9.0,0.0,4.0,1.0,0.0,0.0,5.0,2.0,21,4.0,1.0,5.0,0.0,0.0,0.0,4.0,7.0,60,126,26.0,0.0,7.0,5.0,13,27.0,0.0,0.0,3.0,81,1.0,21,52,5.0,0.0,0.0,0.0,0.0,0.0
200909,1.9415,343,18.0,49,63,26,5,13,11,3.0,0.0,264,11.0,0.0,14.0,0.0,11.0,21,2.0,0.0,89,42,0.0,6,0.0,4.0,171,7.0,0.0,0.0,319,8.0,355,354,7.0,4.0,252,38,228,3.0,0.0,2.0,3.0,0.0,197,54,54,0.0,0.0,0.0,35,44,4.0,9.0,0.0,2.0,30,1.0,0.0,9.0,58,0.0,2.0,17,58,0.0,0.0,0.0,1.0,22,1.0,0.0,0.0,0.0,5.0,0.0,1.0,41,52,94,2.0,19,7.0,0.0,86,0.0,5.0,0.0,1.0,2.0,8.0,1.0,1.0,26,5.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,17,0.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,18.0,3,3.0,0.0,3.0,2.0,0.0,1.0,0.0,7.0,17,137,3.0,2.0,10.0,0.0,35,8.0,0.0,0.0,5.0,104,1.0,16,15,2.0,0.0,0.0,0.0,0.0,0.0
200910,1.9425833333333336,323,19.0,49,94,36,8,15,23,11.0,0.0,302,3.0,7.0,8.0,0.0,15.0,31,11.0,12.0,72,31,2.0,13,0.0,16.0,263,2.0,0.0,0.0,387,1.0,433,381,28.0,11.0,265,95,274,0.0,0.0,6.0,3.0,0.0,277,86,71,10.0,2.0,2.0,48,40,2.0,18.0,0.0,0.0,31,5.0,1.0,10.0,61,0.0,1.0,13,45,2.0,0.0,0.0,2.0,34,0.0,0.0,0.0,0.0,4.0,0.0,0.0,58,77,85,5.0,18,0.0,1.0,94,0.0,3.0,0.0,3.0,7.0,2.0,7.0,0.0,58,3.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,2.0,39,5.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,6.0,4,13.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,25,142,12.0,9.0,27.0,1.0,17,6.0,0.0,2.0,8.0,91,3.0,13,28,7.0,0.0,0.0,0.0,0.0,0.0
